id	title1	title2	title3	hint1	hint2	hint3	explain
1	누가복음 1장 8절~10절	레위기 16장 13절~14절	시편 141편 2절	8) 마침 사가랴가 그 반열의 차례대로 하나님 앞에서 제사장의 직무를 행할새\n\n9) 제사장의 전례를 따라 제비를 뽑아 주의 성전에 들어가 분향하고\n\n10) 모든 백성은 그 분향하는 시간에 밖에서 기도하더니	13) 여호와 앞에서 분향하여 향연으로 증거궤 위 속죄소를 가리게 할지니 그리하면 그가 죽지 아니할 것이며\n\n14) 그는 또 수송아지의 피를 가져다가 손가락으로 속죄소 동쪽에 뿌리고 또 손가락으로 그 피를 속죄소 앞에 일곱 번 뿌릴 것이며	 2) 나의 기도가 주의 앞에 분향함과 같이 되며 나의 손 드는 것이 저녁 제사 같이 되게 하소서	○향은 향에 불을 피우는 것이다. 성경에서는 번제를 드릴 때 함께 행하는 예식이었다. 곧 향을 피우는 것은 제사의 의미인 것이다(레16;13~14, 왕하12:3,15:4,17:11, 대하13:11,34:25, 사1:13, 렘1:16,18:156, 호11:2, 합1:16, 눅1:9~10).
2	데살로니가후서 2장 8절~10절	출애굽기 11장 9절~10절	시편 111편 4절	8) 그 때에 불법한 자가 나타나리니 주 예수께서 그 입의 기운으로 그를 죽이시고 강림하여 나타나심으로 폐하시리라\n\n9) 악한 자의 나타남은 사탄의 활동을 따라 모든 능력과 표적과 거짓 기적과\n\n10) 불의의 모든 속임으로 멸망하는 자들에게 있으리니 이는 그들이 진리의 사랑을 받지 아니하여 구원함을 받지 못함이라	9) 여호와께서 모세에게 이르시기를 바로가 너희의 말을 듣지 아니하리라 그러므로 내가 애굽 땅에서 나의 기적을 더하리라 하셨고\n\n10) 모세와 아론이 이 모든 기적을 바로 앞에서 행하였으나 여호와께서 바로의 마음을 완악하게 하셨으므로 그가 이스라엘 자손을 그 나라에서 보내지 아니하였더라	1) 그의 기적을 사람이 기억하게 하셨으니 여호와는 은혜로우시고 자비로우시도다	○향은 향에 불을 피우는 것이다. 성경에서는 번제를 드릴 때 함께 행하는 예식이었다. 곧 향을 피우는 것은 제사의 의미인 것이다(레16;13~14, 왕하12:3,15:4,17:11, 대하13:11,34:25, 사1:13, 렘1:16,18:156, 호11:2, 합1:16, 눅1:9~10).
3	여호수아 10장 33절~35절	열왕기하 19장 7절~8절	역대하 11장 9절	33) 그 때에 게셀 왕 호람이 라기스를 도우려고 올라오므로 여호수아가 그와 그의 백성을 쳐서 한 사람도 남기지 아니하였더라\n\n34) 여호수아가 온 이스라엘과 더불어 라기스에서 에글론으로 나아가서 대진하고 싸워\n\n35) 그 날에 그 성읍을 취하고 칼날로 그것을 쳐서 그 중에 있는 모든 사람을 당일에 진멸하여 바쳤으니 라기스에 행한 것과 같았더라	7) 내가 한 영을 그의 속에 두어 그로 소문을 듣고 그의 본국으로 돌아가게 하고 또 그의 본국에서 그에게 칼에 죽게 하리라 하셨느니라 하더라\n\n8) 랍사게가 돌아가다가 앗수르 왕이 이미 라기스에서 떠났다 함을 듣고 립나로 가서 앗수르 왕을 만났으니 왕이 거기서 립나와 싸우는 중이더라	9) 아도라임과 라기스와 아세가와	○○스는 유다남쪽의 성읍(수15:39)으로 기브온을 치기 위한 동맹에 가담했고(수10:3~5), 여호수아에게 패배(수10:6~32)했다. 또 르호보암이 요새화(대하11:5~6)했으나, 앗수르 왕 산헤립에게 점령(왕하18:13~17)되었다. 
4	민수기 35장 13절~15절	여호수아 20장 1절~2절	역대상 6장 57절	13) 너희가 줄 성읍 중에 여섯을 도피성이 되게 하되\n\n14) 세 성읍은 요단 이쪽에 두고 세 성읍은 가나안 땅에 두어 도피성이 되게 하라\n\n15) 이 여섯 성읍은 이스라엘 자손과 타국인과 이스라엘 중에 거류하는 자의 도피성이 되리니 부지중에 살인한 모든 자가 그리로 도피할 수 있으리라	1) 여호와께서 여호수아에게 말씀하여 이르시되\n\n2) 이스라엘 자손에게 말하여 이르기를 내가 모세를 통하여 너희에게 말한 도피성들을 너희를 위해 정하여	57) 아론 자손에게 도피성을 주었으니 헤브론과 립나와 그 초원과 얏딜과 에스드모아와 그 초원과	도○○은 모세와 여호수아가 그릇 살인한 자들을 위한 피난처(출21:12~13, 민35:11~15, 신4:42, 19:113, 수20:2~3)로 설치한 여섯 성읍을 말한다. 그릇 살인한 자는 대제사장이 죽기까지 도○○에 거해야 한다(민35:25,28,32). 만약 살인자가 도○○을 나가면 죽여도 되었다(민35:26~27). 이 여섯 성읍은 게데스, 세겔, 헤드론, 바산, 골란, 베셀, 길르앗 라못(수21:13~38) 등이다.
5	누가복음 16장 2절~4절	로마서 15장 15절~16절	고린도전서 12장 5절	2) 주인이 그를 불러 이르되 내가 네게 대하여 들은 이 말이 어찌 됨이냐 네가 보던 일을 셈하라 청지기 직무를 계속하지 못하리라 하니\n\n3) 청지기가 속으로 이르되 주인이 내 직분을 빼앗으니 내가 무엇을 할까 땅을 파자니 힘이 없고 빌어 먹자니 부끄럽구나\n\n4) 내가 할 일을 알았도다 이렇게 하면 직분을 빼앗긴 후에 사람들이 나를 자기 집으로 영접하리라 하고	15) 그러나 내가 너희로 다시 생각나게 하려고 하나님께서 내게 주신 은혜로 말미암아 더욱 담대히 대략 너희에게 썼노니\n\n16) 이 은혜는 곧 나로 이방인을 위하여 그리스도 예수의 일꾼이 되어 하나님의 복음의 제사장 직분을 하게 하사 이방인을 제물로 드리는 것이 성령 안에서 거룩하게 되어 받으실 만하게 하려 하심이라	5) 직분은 여러 가지나 주는 같으며	○○이란 직무상의 본분 혹은 마땅히 해야 할 본분을 말한다. 교회에서 ○○을 맡을 자격은 사도 바울처럼 영광스럽게 여겨야(롬11:13)하며, 디모데전서 3장 1절~9절에는 그리스도께 충성하고, 절제하며,  돈을 사랑하지 않고, 자기 집안을 잘 다스리고, 선한 증거를 얻은 자로서, 술을 즐기지 않고, 깨끗한 양심에 믿음의 비밀을 가진 자라야 한다.
6	마태복음 2장 16절~18절	창세기 35장 19절~20절	예레미야 31장 15절	16) 이에 헤롯이 박사들에게 속은 줄 알고 심히 노하여 사람을 보내어 베들레헴과 그 모든 지경 안에 있는 사내아이를 박사들에게 자세히 알아본 그 때를 기준하여 두 살부터 그 아래로 다 죽이니\n\n17) 이에 선지자 예레미야를 통하여 말씀하신 바\n\n18) 라마에서 슬퍼하며 크게 통곡하는 소리가 들리니 라헬이 그 자식을 위하여 애곡하는 것이라 그가 자식이 없으므로 위로 받기를 거절하였도다 함이 이루어졌느니라	19) 라헬이 죽으매 에브랏 곧 베들레헴 길에 장사되었고\n\n20) 야곱이 라헬의 묘에 비를 세웠더니 지금까지 라헬의 묘비라 일컫더라	15) 여호와께서 이와 같이 말씀하시니라 라마에서 슬퍼하며 통곡하는 소리가 들리니 라헬이 그 자식 때문에 애곡하는 것이라 그가 자식이 없어져서 위로 받기를 거절하는도다	○○은 라반의 둘째 딸로서 야곱이 총애한 아내(창29:28~30)로서 야곱은 ○○을 얻기 위해서 14년 간 라반을 섬겼다(창29:15~30). 그녀는 요셉(창30:22~25)과 베냐민(창35:16~17)을 낳았고, 베냐민을 낳다가 죽었다(창35:24). 그녀의 무덤은 베들레헴에 있다(창35:19).
7	로마서 15장 25절~27절	고린도전서 2장 13절~14절	고린도전서 14장 12절	25) "그러나 이제는 내가 성도를 섬기는 일로 예루살렘에 가노니\n\n26) 이는 마게도냐와 아가야 사람들이 예루살렘 성도 중 가난한 자들을 위하여 기쁘게 얼마를 연보하였음이라\n\n27) 저희가 기뻐서 하였거니와 또한 저희는 그들에게 빚진 자니 만일 이방인들이 그들의 영적인 것을 나눠 가졌으면 육적인 것으로 그들을 섬기는 것이 마땅하니라"	13) 우리가 이것을 말하거니와 사람의 지혜가 가르친 말로 아니하고 오직 성령께서 가르치신 것으로 하니 영적인 일은 영적인 것으로 분별하느니라\n\n14) 육에 속한 사람은 하나님의 성령의 일들을 받지 아니하나니 이는 그것들이 그에게는 어리석게 보임이요, 또 그는 그것들을 알 수도 없나니 그러한 일은 영적으로 분별되기 때문이라	12) 그러므로 너희도 영적인 것을 사모하는 자인즉 교회의 덕을 세우기 위하여 그것이 풍성하기를 구하라	○○싸움의 대상은 사탄(창3:15, 고후2:11, 약4:7, 벧전5:8, 계12:17)과 육체(롬7:23, 고전9:25~27, 고후 12:7, 갈5:17, 벧전 2:11)이며, 원수(시38:19, 56:2~3), 세상(요16:33, 약4:1~4, 요일5:5), 사망(고전15:26, 히2:14~15)이다.
8	사도행전 21장 18절~20절	이사야 26장 10절~11절	시편 69편 9절	18) 그 이튿날 바울이 우리와 함께 야고보에게로 들어가니 장로들도 다 있더라\n\n19) 바울이 문안하고 하나님이 자기의 사역으로 말미암아 이방 가운데서 하신 일을 낱낱이 말하니\n\n20) 그들이 듣고 하나님께 영광을 돌리고 바울더러 이르되 형제여 그대도 보는 바에 유대인 중에 믿는 자 수만 명이 있으니 다 율법에 열성을 가진 자라	10) 악인은 은총을 입을지라도 의를 배우지 아니하며 정직한 자의 땅에서 불의를 행하고 여호와의 위엄을 돌아보지 아니하는도다\n\n11) 여호와여 주의 손이 높이 들릴지라도 그들이 보지 아니하오나 백성을 위하시는 주의 열성을 보면 부끄러워할 것이라 불이 주의 대적들을 사르리이다	9) 주의 집을 위하는 열성이 나를 삼키고 주를 비방하는 비방이 내게 미쳤나이다	 ○○이란 열렬한 정성이다. 
9	사도행전 13장 33절~35절	사도행전 1장 19절~20절	누가복음 20장 42절	33) 곧 하나님이 예수를 일으키사 우리 자녀들에게 이 약속을 이루게 하셨다 함이라 시편 둘째 편에 기록한 바와 같이 너는 내 아들이라 오늘 너를 낳았다 하셨고\n\n34) 또 하나님께서 죽은 자 가운데서 그를 일으키사 다시 썩음을 당하지 않게 하실 것을 가르쳐 이르시되 내가 다윗의 거룩하고 미쁜 은사를 너희에게 주리라 하셨으며\n\n35) 또 다른 시편에 일렀으되 주의 거룩한 자로 썩음을 당하지 않게 하시리라 하셨느니라	19) 이 일이 예루살렘에 사는 모든 사람에게 알리어져 그들의 말로는 그 밭을 아겔다마라 하니 이는 피밭이라는 뜻이라）\n\n20) 시편에 기록하였으되 그의 거처를 황폐하게 하시며 거기 거하는 자가 없게 하소서 하였고 또 일렀으되 그의 직분을 타인이 취하게 하소서 하였도다	42) 시편에 다윗이 친히 말하였으되 주께서 내 주께 이르시되	○편은 ○의 근본적인 성격을 구분하여 1)노래로 불리우는 찬송(mizmor), 2)노래(shir), 3)성가(maskil), 4)애가(miltam) 등의 제목으로 묘사되고 있다. 제목이 있는 시편들 가운데 일흔 세편이 “LeDavid"라는 제목 명을 사용하고 있는데, 이 말이 한글개역성경과 영어인 AV, RV, ASV, RSV, NASB에서 공히 다윗의 ○로 번역되었으나, 히브리어의 용례로는 ”다윗과 관련된“, ”다윗을 위해“, ”다윗의 문제로“, ”다윗에 의해“ 등을 의미할 수도 있다.
10	고린도전서 8장 9절~11절	로마서 10장 1절~2절	골로새서 2장 3절	9) 그런즉 너희의 자유가 믿음이 약한 자들에게 걸려 넘어지게 하는 것이 되지 않도록 조심하라\n\n10) 지식 있는 네가 우상의 집에 앉아 먹는 것을 누구든지 보면 그 믿음이 약한 자들의 양심이 담력을 얻어 우상의 제물을 먹게 되지 않겠느냐\n\n11) 그러면 네 지식으로 그 믿음이 약한 자가 멸망하나니 그는 그리스도께서 위하여 죽으신 형제라	1) 형제들아 내 마음에 원하는 바와 하나님께 구하는 바는 이스라엘을 위함이니 곧 그들로 구원을 받게 함이라\n\n2) 내가 증언하노니 그들이 하나님께 열심이 있으나 올바른 지식을 따른 것이 아니니라	3) 그 안에는 지혜와 지식의 모든 보화가 감추어져 있느니라	 지○의 가치는 1)영혼을 즐겁게(잠2:10)하다. 2)정금보다 귀하다(잠8:10). 3)구원에 이르게 한다(잠11:9, 요17:3). 4)여호와께서 지○있는 자를 지켜주신다(잠22:12). 5)힘을 더한다(느10:28~2 지○의 가치는 1)영혼을 즐겁게(잠2:10)하다. 2)정금보다 귀하다(잠8:10). 3)구원에 이르게 한다(잠11:9, 요17:3). 4)여호와께서 지○있는 자를 지켜주신다(잠22:12). 5)힘을 더한다(느10:28~29, 잠24:5, 롬15:14, 엡3:19). 6)지○있는 사람으로 말미암아 나라가 장구하게 된다(잠28:2).
