stage	id	startpos	dir	answer	text
5	0	2	1	하나님자녀	하나님자녀
5	33	2	0	하박국	하//
5	34	10	0	느디님	//님
5	35	17	0	자수정	자//
5	36	21	0	남녀	/녀
5	37	0	1	아벳느고	////
5	38	4	1	국가	//
5	39	19	1	정의	//
3	0	2	1	세상의소금	세상의소금
3	17	0	0	므낫세	  세
3	18	7	0	상속권	상//
3	19	17	0	소나기	소//
3	20	20	0	십현금	//금
3	21	0	1	므리바	///
3	22	4	1	주권	//
3	23	19	1	기도	//
4	0	2	1	세상의 빛	세상의/빛
4	24	2	0	세마포	세//
4	25	5	0	발동상	//상
4	26	12	0	의인	의/
4	27	15	0	임재	//
4	28	18	0	봉사	//
4	29	0	1	스발와임	////
4	30	13	1	인봉	//
4	31	4	1	포도	//
4	32	18	1	사랑	//
1	0	2	1	그 리스도	그/리스도
1	1	5	0	분향	/향
1	2	8	0	기적	기/
1	3	10	0	라기스	//스
1	4	22	0	도피성	도//
1	5	0	1	직분	//
1	6	15	1	라헬	//
1	7	4	1	영적	//
1	8	19	1	열정	//
2	0	2	1	그 리스도	그/리스도
2	9	5	0	시편	/편
2	10	8	0	지식	지/
2	11	17	0	스데반	스//
2	12	20	0	건포도	//도
2	13	0	1	계시	//
2	14	15	1	경전	//
2	15	4	1	양식	//
2	16	19	1	반석	//
6	40	3	0	신령	신/
6	41	7	0	산성	//
6	42	12	0	허물	//
6	43	28	0	마태복	///
6	44	33	0	탕자	//
6	45	43	0	상급	//
6	46	47	0	채색옷	///
6	47	21	1	도마	//
6	48	1	1	지성	//
6	49	29	1	태양상	///
6	50	39	1	광채	//
6	51	12	1	허랑방탕	/랑//
6	52	6	1	보물	//
6	53	34	1	자색옷	///
6	0	3	1	신앙	신앙
6	0	15	0	소망	소망
6	0	18	0	사랑	사랑
6	0	24	1	믿음	믿음
7	54	3	0	사라	사/
7	0	3	1	사랑	사랑
7	55	7	0	오벨	//
7	56	13	0	아가	//
7	57	30	0	가락지	/락/
7	58	35	0	암사슴	///
7	59	39	0	파수꾼	///
7	60	21	1	실로암	///
7	61	1	1	고벨	//
7	62	36	1	사냥	//
7	63	30	1	가슴	//
7	64	32	1	지파	//
7	65	12	1	아내	/내
7	66	40	1	수금	//
7	67	6	1	누가	//
7	68	27	1	정팀꾼	///
7	0	24	1	희락	희락
7	0	15	0	화평	화평
7	0	18	0	인내	인내
8	69	3	0	자녀	/녀
8	70	7	0	명령	//
8	71	12	0	향기	//
8	72	21	0	데만	//
8	73	31	0	수선화	/선/
8	74	40	0	목걸이	///
8	75	42	0	로템	//
8	76	21	1	데오빌로	////
8	77	1	1	성령충만	//충/
8	78	30	1	수레	//
8	79	32	1	화목제	///
8	80	12	1	향유	/유
8	81	6	1	용기	//
8	82	27	1	방망이	///
8	0	3	1	자비	자비
8	0	24	1	양선	양선
8	0	15	0	충성	충성
8	0	18	0	온유	온유
9	83	2	0	관절과골수	/절///
9	84	7	0	송이	//
9	85	26	0	찬미	//
9	86	29	0	글레멘드	//
9	87	35	0	게라	//
9	88	39	0	단비	//
9	89	43	0	야고보	///
9	90	47	0	유향	//
9	91	8	1	이성	/성
9	92	29	1	글라야	///
9	93	32	1	드단	//
9	94	19	1	만찬	만/
9	95	40	1	비유	//
9	96	6	1	수넴	//
9	97	27	1	미문	//
9	0	3	1	절제	절제
9	0	24	1	아멘	아멘
9	0	15	0	성령	성령
9	0	18	0	충만	충만
10	98	3	0	항상기도	항///
10	99	7	0	갈멜	//
10	100	21	0	권세	//
10	101	26	0	모세	//
10	102	38	0	하무달	하//
10	103	42	0	딤낫세라	///
10	104	47	0	매매	//
10	105	0	1	길갈	//
10	106	35	1	깃딤	//
10	107	19	1	사모	사/
10	108	40	1	달매	//
10	109	6	1	도마	//
10	110	27	1	세례	//
10	0	3	1	항상	항상
10	0	24	1	기뻐하라	기뻐하라
10	0	15	0	기도	기도
10	0	18	0	감사	감사
11	111	4	0	너그러운	너///
11	112	9	0	멍에	//
11	113	12	0	너희	/희
11	114	16	0	동산	//
11	115	43	0	오난	//
11	116	45	0	사드락	///
11	117	49	0	상인	상/
11	118	58	0	의자	의/
11	119	61	0	게바	//
11	120	73	0	앉은뱅이	///이
11	121	85	0	며느리	며//
11	122	0	1	구멍	//
11	123	36	1	군사	//
11	124	10	1	에베소	//
11	125	29	0	금가락지	금///
11	126	74	1	은혜	//
11	127	50	1	인자	//
11	128	24	1	생기	/기
11	129	78	1	머리	//
11	130	7	1	운동	//
11	131	34	1	라오디게아	라////
11	132	17	1	산성	//
11	0	4	1	너희는	너희는
11	0	40	1	세상의빛이며	세상의빛이며
11	0	28	0	소금과	소금과
11	0	32	0	향기라	향기라
12	133	4	0	너희에게	너///
12	134	9	0	화살	//
12	135	12	0	저희	/희
12	136	16	0	벨라	//
12	137	40	0	택자	택/
12	138	43	0	자비	//
12	139	54	0	관하여	///
12	140	58	0	신포도주	신///
12	141	73	0	브리스족속	///족/
12	142	79	0	자유	//
12	143	81	0	벧엘	//
12	144	85	0	속죄	속/
12	145	0	1	신화	//
12	146	54	1	관용	//
12	147	10	1	살렘왕	//왕
12	148	73	1	브엘	//
12	149	29	1	같이하여	같///
12	150	66	1	구스	//
12	151	32	1	제자	제/
12	152	24	1	감사	/사
12	153	7	1	게벨	//
12	154	34	1	장자	장/
12	155	61	1	주권자	///
12	156	17	1	라멕	//
12	157	44	1	비유	//
12	158	80	1	유모	//
12	0	4	1	너희는	너희는
